Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,nom,url_end,type1,min1,med2,max3,type2,min1.1,med2.1,max3.1,type3,min1.2,med2.2,max3.2
40329,LE VIGNAU,40270,LE VIGNAU,le vignau,le-vignau-40270,,653,1 306,1 695,,,,,,,,
41001,AMBLOY,41310,AMBLOY,ambloy,ambloy-41310,,1 116,1 240,1 426,,,,,,,,
41008,AVARAY,41500,AVARAY,avaray,avaray-41500,,820,1 273,1 936,,780,1 211,1 842,,,,
41045,CHAUMONT SUR LOIRE,41150,CHAUMONT SUR LOIRE,chaumont-sur-loire,chaumont-sur-loire-41150,,798,1 340,1 731,,,,,,,,
41046,CHAUMONT SUR THARONNE,41600,CHAUMONT SUR THARONNE,chaumont-sur-tharonne,chaumont-sur-tharonne-41600,,1 240,1 722,2 512,,1 228,1 705,2 487,,,,
41048,CHAUVIGNY DU PERCHE,41270,CHAUVIGNY DU PERCHE,chauvigny-du-perche,chauvigny-du-perche-41270,,629,1 069,1 229,,,,,,,,
41049,CHEMERY,41700,CHEMERY,chemery,chemery-41700,,810,1 123,1 339,,,,,,,,
41052,CHITENAY,41120,CHITENAY,chitenay,chitenay-41120,,1 188,1 622,2 022,,,,,,,,
41060,CORMENON,41170,CORMENON,cormenon,cormenon-41170,,557,980,1 393,,,,,,,,
41061,CORMERAY,41120,CORMERAY,cormeray,cormeray-41120,,887,1 467,1 842,,,,,,,,
41071,CROUY SUR COSSON,41220,CROUY SUR COSSON,crouy-sur-cosson,crouy-sur-cosson-41220,,896,1 274,2 230,,,,,,,,
41077,EPIAIS,41290,EPIAIS,epiais,epiais-41290,,1 053,1 215,1 397,,,,,,,,
41082,FEINGS,41120,FEINGS,feings,feings-41120,,739,1 413,1 707,,,,,,,,
41085,LA FERTE ST CYR,41220,LA FERTE ST CYR,la ferte-saint-cyr,la-ferte-saint-cyr-41220,,886,1 491,2 610,,,,,,,,
41089,LA FONTENELLE,41270,LA FONTENELLE,la fontenelle,la-fontenelle-41270,,467,905,1 263,,,,,,,,
41090,FORTAN,41360,FORTAN,fortan,fortan-41360,,1 020,1 184,1 362,,,,,,,,
41091,FOSSE,41330,FOSSE,fosse,fosse-41330,,903,1 509,1 736,,,,,,,,
41092,FOUGERES SUR BIEVRE,41120,FOUGERES SUR BIEVRE,fougeres-sur-bievre,fougeres-sur-bievre-41120,,786,1 470,1 690,,,,,,,,
41096,LE GAULT PERCHE,41270,LE GAULT PERCHE,le gault-perche,le-gault-perche-41270,,584,984,1 224,,,,,,,,
41098,GOMBERGEAN,41310,GOMBERGEAN,gombergean,gombergean-41310,,1 101,1 223,1 528,,,,,,,,
41101,HERBAULT,41190,HERBAULT,herbault,herbault-41190,,720,1 413,1 682,,,,,,,,
41105,JOSNES,41370,JOSNES,josnes,josnes-41370,,,,,,,,,,,,
41110,LANGON,41320,LANGON,langon,langon-41320,,,,,,,,,,,,
41114,LESTIOU,41500,LESTIOU,lestiou,lestiou-41500,,,,,,,,,,,,
41121,LA MADELEINE VILLEFROUIN,41370,LA MADELEINE VILLEFROUIN,la madeleine-villefrouin,la-madeleine-villefrouin-41370,,,,,,,,,,,,
41122,MARAY,41320,MARAY,maray,maray-41320,,,,,,,,,,,,
41137,MESLAND,41150,MESLAND,mesland,mesland-41150,,,,,,,,,,,,
41151,MONTRICHARD VAL DE CHER,41400,MONTRICHARD VAL DE CHER,montrichard,montrichard-41400,,,,,,,,,,,,
41153,MONTROUVEAU,41800,MONTROUVEAU,montrouveau,montrouveau-41800,,,,,,,,,,,,
41163,NOURRAY,41310,NOURRAY,nourray,nourray-41310,,,,,,,,,,,,
41164,NOYERS SUR CHER,41140,NOYERS SUR CHER,noyers-sur-cher,noyers-sur-cher-41140,,,,,,,,,,,,
41166,OISLY,41700,OISLY,oisly,oisly-41700,,,,,,,,,,,,
41173,BEAUCE LA ROMAINE,41160,BEAUCE LA ROMAINE,ouzouer-le-marche,ouzouer-le-marche-41160,,,,,,,,,,,,
41173,BEAUCE LA ROMAINE,41240,BEAUCE LA ROMAINE,ouzouer-le-marche,ouzouer-le-marche-41240,,,,,,,,,,,,
41175,PEZOU,41100,PEZOU,pezou,pezou-41100,,,,,,,,,,,,
41180,PONTLEVOY,41400,PONTLEVOY,pontlevoy,pontlevoy-41400,,,,,,,,,,,,
41182,PRAY,41190,PRAY,pray,pray-41190,,,,,,,,,,,,
41188,RHODON,41290,RHODON,rhodon,rhodon-41290,,,,,,,,,,,,
41196,RUAN SUR EGVONNE,41270,RUAN SUR EGVONNE,ruan-sur-egvonne,ruan-sur-egvonne-41270,,,,,,,,,,,,
41201,ST ARNOULT,41800,ST ARNOULT,saint-arnoult,saint-arnoult-41800,,,,,,,,,,,,
41205,ST CYR DU GAULT,41190,ST CYR DU GAULT,saint-cyr-du-gault,saint-cyr-du-gault-41190,,,,,,,,,,,,
41212,ST GERVAIS LA FORET,41350,ST GERVAIS LA FORET,saint-gervais-la-foret,saint-gervais-la-foret-41350,,,,,,,,,,,,
41217,ST JULIEN DE CHEDON,41400,ST JULIEN DE CHEDON,saint-julien-de-chedon,saint-julien-de-chedon-41400,,884,1 330,2 002,,,,,,,,
41228,ST RIMAY,41800,ST RIMAY,saint-rimay,saint-rimay-41800,,813,1 119,1 802,,,,,,,,
41234,SANTENAY,41190,SANTENAY,santenay,santenay-41190,,919,1 300,2 275,,,,,,,,
41235,SARGE SUR BRAYE,41170,SARGE SUR BRAYE,sarge-sur-braye,sarge-sur-braye-41170,,899,1 050,1 707,,,,,,,,
41238,SAVIGNY SUR BRAYE,41360,SAVIGNY SUR BRAYE,savigny-sur-braye,savigny-sur-braye-41360,,657,977,1 484,,,,,,,,
39331,MIGNOVILLARD,39250,MIGNOVILLARD,mignovillard,mignovillard-39250,,890,1 780,2 153,,1 122,2 244,2 714,,,,
39331,MIGNOVILLARD,39250,MIGNOVILLARD,mignovillard,mignovillard-39250,,890,1 780,2 153,,1 122,2 244,2 714,,,,
39349,MONTAIN,39210,MONTAIN,montain,montain-39210,,1 292,1 435,1 651,,,,,,,,
39353,MONTFLEUR,39320,MONTFLEUR,montfleur,montfleur-39320,,546,878,1 009,,,,,,,,
